LMK_KEY,IMPROVEMENT_ITEM,IMPROVEMENT_SUMMARY_TEXT,IMPROVEMENT_DESCR_TEXT,IMPROVEMENT_ID,IMPROVEMENT_ID_TEXT,INDICATIVE_COST
1102c41bd05263fff88345b7ed34b1de5c02652117f05dc6bbd0dd21a23dc022,1,Room-in-roof insulation,Room-in-roof insulation,46.0,,"£1,500 - £2,700"
1102c41bd05263fff88345b7ed34b1de5c02652117f05dc6bbd0dd21a23dc022,2,Internal or external wall insulation,Internal or external wall insulation,7.0,,"£4,000 - £14,000"
1102c41bd05263fff88345b7ed34b1de5c02652117f05dc6bbd0dd21a23dc022,3,Floor insulation (suspended floor),Floor insulation (suspended floor),57.0,,"£800 - £1,200"
1102c41bd05263fff88345b7ed34b1de5c02652117f05dc6bbd0dd21a23dc022,4,Draught proofing,Draught proofing,10.0,,£80 - £120
1102c41bd05263fff88345b7ed34b1de5c02652117f05dc6bbd0dd21a23dc022,5,Solar water heating,Solar water heating,19.0,,"£4,000 - £6,000"
1102c41bd05263fff88345b7ed34b1de5c02652117f05dc6bbd0dd21a23dc022,6,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£3,300 - £6,500"
1102c41bd05263fff88345b7ed34b1de5c02652117f05dc6bbd0dd21a23dc022,7,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£3,500 - £5,500"
a31cfa78051414570bc8ff51d641fd1f978edc771b60b36954d8a9f955922206,1,Floor insulation (suspended floor),Floor insulation (suspended floor),57,,"£800 - £1,200"
a31cfa78051414570bc8ff51d641fd1f978edc771b60b36954d8a9f955922206,2,Solar water heating,Solar water heating,19,,"£4,000 - £6,000"
a31cfa78051414570bc8ff51d641fd1f978edc771b60b36954d8a9f955922206,3,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34,,"£3,500 - £5,500"
ab185ad62d20dbefd5e6b66186cab92422aa8d1d2a1c996676b162b129560e47,1,Floor insulation (suspended floor),Floor insulation (suspended floor),57,,"£800 - £1,200"
ab185ad62d20dbefd5e6b66186cab92422aa8d1d2a1c996676b162b129560e47,2,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34,,"£3,500 - £5,500"
2e7392c45ce37d9c04eee6a99a10f1cfde1d420a0f0968832f2b103e6b0b0d66,1,Floor insulation (suspended floor),Floor insulation (suspended floor),57.0,,"£800 - £1,200"
2e7392c45ce37d9c04eee6a99a10f1cfde1d420a0f0968832f2b103e6b0b0d66,2,Solar water heating,Solar water heating,19.0,,"£4,000 - £6,000"
ea5f115cea3719bd738353aa8590233b3ea8869edf186bdae3cc3612b94fe888,1,Floor insulation (suspended floor),Floor insulation (suspended floor),57,,"£800 - £1,200"
ea5f115cea3719bd738353aa8590233b3ea8869edf186bdae3cc3612b94fe888,2,Low energy lighting for all fixed outlets,Low energy lighting,35,,£95
ea5f115cea3719bd738353aa8590233b3ea8869edf186bdae3cc3612b94fe888,3,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34,,"£3,500 - £5,500"
7d3365bf91a9c1e333a39ecb27480541a4113c0c3242d4de371ddaaf01660d3e,1,Floor insulation (solid floor),Floor insulation (solid floor),58.0,,"£4,000 - £6,000"
7d3365bf91a9c1e333a39ecb27480541a4113c0c3242d4de371ddaaf01660d3e,2,Solar water heating,Solar water heating,19.0,,"£4,000 - £6,000"
7d3365bf91a9c1e333a39ecb27480541a4113c0c3242d4de371ddaaf01660d3e,3,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£3,500 - £5,500"
0d3ae34ee83788f59ff6ed1467d0793c6b52074f834428c5f4fe73dddc7784bb,1,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
0d3ae34ee83788f59ff6ed1467d0793c6b52074f834428c5f4fe73dddc7784bb,2,Solar water heating,Solar water heating,19,,"£4,000 - £6,000"
1e21b1bb271dc1ebdb8e5ebcf9f715e4c67a94617efcaf83e709d6c39dc7c6fd,1,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£3,500 - £5,500"
1e3929a731ddc077ae89a9f182c8e2dbf4ef8f93d7f2aa90d582d21bb87ea606,1,Floor insulation (solid floor),Floor insulation (solid floor),58.0,,"£4,000 - £6,000"
1e3929a731ddc077ae89a9f182c8e2dbf4ef8f93d7f2aa90d582d21bb87ea606,2,Solar water heating,Solar water heating,19.0,,"£4,000 - £6,000"
1e3929a731ddc077ae89a9f182c8e2dbf4ef8f93d7f2aa90d582d21bb87ea606,3,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£3,500 - £5,500"
5ea6b006fdf0e4025e62c2201b3de9f98f2d07ad2255d147c0dbe504dff0c850,1,Floor insulation (solid floor),Floor insulation (solid floor),58.0,,"£4,000 - £6,000"
5ea6b006fdf0e4025e62c2201b3de9f98f2d07ad2255d147c0dbe504dff0c850,2,Low energy lighting for all fixed outlets,Low energy lighting,35.0,,£10
5ea6b006fdf0e4025e62c2201b3de9f98f2d07ad2255d147c0dbe504dff0c850,3,Solar water heating,Solar water heating,19.0,,"£4,000 - £6,000"
5ea6b006fdf0e4025e62c2201b3de9f98f2d07ad2255d147c0dbe504dff0c850,4,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£3,500 - £5,500"
bacc9f08c5245630361402d01761b2808a024e8c0a5dacb401978050ece3c949,1,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
bacc9f08c5245630361402d01761b2808a024e8c0a5dacb401978050ece3c949,2,Low energy lighting for all fixed outlets,Low energy lighting,35,,£10
bacc9f08c5245630361402d01761b2808a024e8c0a5dacb401978050ece3c949,3,Solar water heating,Solar water heating,19,,"£4,000 - £6,000"
bacc9f08c5245630361402d01761b2808a024e8c0a5dacb401978050ece3c949,4,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34,,"£3,500 - £5,500"
13a5be60faf8cedd2a4f77b22f3d62f7cac161e26f20ce0f198ba78131859d0e,1,Floor insulation (solid floor),Floor insulation (solid floor),58.0,,"£4,000 - £6,000"
13a5be60faf8cedd2a4f77b22f3d62f7cac161e26f20ce0f198ba78131859d0e,2,Solar water heating,Solar water heating,19.0,,"£4,000 - £6,000"
13a5be60faf8cedd2a4f77b22f3d62f7cac161e26f20ce0f198ba78131859d0e,3,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£3,500 - £5,500"
178570065c28632f2c8938d0ce00c2049c80cf1df3e3d25405def6983b35f141,1,Floor insulation (suspended floor),Floor insulation (suspended floor),57.0,,"£800 - £1,200"
178570065c28632f2c8938d0ce00c2049c80cf1df3e3d25405def6983b35f141,2,Solar water heating,Solar water heating,19.0,,"£4,000 - £6,000"
